entry_time,exit_time,side,entry_price,exit_price,pnl,reason,system,held_bars
2025-11-03 15:20:00,,LONG,26089.0,26044.25,-895.0,stop,VWAP Reversion,
2025-11-03 16:45:00,,LONG,26063.5,26090.25,535.0,target,VWAP Reversion,
2025-11-03 23:20:00,,LONG,26079.0,26086.75,155.0,target,VWAP Reversion,
2025-11-03 23:35:00,,LONG,26074.0,26050.25,-475.0,stop,VWAP Reversion,
2025-11-03 23:40:00,2025-11-04 00:00:00,LONG,26066.25,26055.93,-206.43,real_dollar_stop,Z-Score MR v2,4.0
2025-11-04 00:05:00,2025-11-04 00:15:00,SHORT,26044.5,26012.0,650.0,target,Layer I,
2025-11-04 00:05:00,2025-11-04 00:15:00,LONG,26044.5,26032.54,-239.29,real_dollar_stop,Z-Score MR v2,2.0
2025-11-04 00:20:00,2025-11-04 00:25:00,LONG,26000.5,25987.09,-268.21,real_dollar_stop,Z-Score MR v2,1.0
2025-11-04 00:25:00,2025-11-04 00:30:00,SHORT,25983.5,25997.59,-281.79,stop,Layer I,
2025-11-04 00:30:00,2025-11-04 02:20:00,LONG,25998.0,25983.12,-297.5,real_dollar_stop,Z-Score MR v2,22.0
2025-11-04 00:50:00,2025-11-04 01:00:00,SHORT,26016.25,25997.0,385.0,signal_invalidated,Layer I,
2025-11-04 02:30:00,2025-11-04 03:00:00,SHORT,25969.75,25957.25,250.0,be_stop,Layer I,
2025-11-04 02:40:00,,LONG,25960.5,25941.75,-375.0,stop,VWAP Reversion,
2025-11-04 03:35:00,,LONG,25942.5,25925.25,-345.0,stop,VWAP Reversion,
2025-11-04 03:40:00,2025-11-04 04:05:00,SHORT,25937.5,25940.25,-55.0,signal_invalidated,Layer I,
2025-11-04 04:15:00,,LONG,25931.5,25914.75,-335.0,stop,VWAP Reversion,
2025-11-04 04:15:00,2025-11-04 05:20:00,SHORT,25931.5,25899.0,650.0,target,Layer I,
2025-11-04 04:40:00,,LONG,25910.25,25922.75,250.0,target,VWAP Reversion,
2025-11-04 05:00:00,,LONG,25914.75,25884.5,-605.0,stop,VWAP Reversion,
2025-11-04 05:20:00,2025-11-04 05:40:00,LONG,25884.5,25870.59,-278.21,real_dollar_stop,Z-Score MR v2,4.0
2025-11-04 05:25:00,,LONG,25872.0,25884.75,255.0,target,VWAP Reversion,
2025-11-04 05:35:00,,LONG,25873.75,25824.25,-990.0,stop,VWAP Reversion,
2025-11-04 05:45:00,2025-11-04 06:05:00,LONG,25815.5,25796.54,-379.29,real_dollar_stop,Z-Score MR v2,4.0
2025-11-04 05:45:00,,LONG,25815.5,25772.25,-865.0,stop,VWAP Reversion,
2025-11-04 06:10:00,,LONG,25788.25,25755.0,-665.0,stop,VWAP Reversion,
2025-11-04 06:10:00,2025-11-04 06:35:00,LONG,25788.25,25761.77,-529.64,real_dollar_stop,Z-Score MR v2,5.0
2025-11-04 06:40:00,,LONG,25773.0,25787.5,290.0,target,VWAP Reversion,
2025-11-04 06:55:00,,LONG,25776.0,25747.75,-565.0,stop,VWAP Reversion,
2025-11-04 07:10:00,,LONG,25751.5,25778.25,535.0,target,VWAP Reversion,
2025-11-04 07:25:00,,LONG,25770.0,25785.75,315.0,target,VWAP Reversion,
2025-11-04 07:40:00,,LONG,25774.75,25792.5,355.0,target,VWAP Reversion,
2025-11-04 07:55:00,,LONG,25792.25,25753.5,-775.0,stop,VWAP Reversion,
2025-11-04 08:05:00,,LONG,25743.5,25775.0,630.0,target,VWAP Reversion,
2025-11-04 08:25:00,,LONG,25768.0,25781.5,270.0,target,VWAP Reversion,
2025-11-04 08:45:00,,LONG,25769.5,25744.75,-495.0,stop,VWAP Reversion,
2025-11-04 09:10:00,,LONG,25751.75,25717.0,-695.0,stop,VWAP Reversion,
2025-11-04 09:45:00,,LONG,25724.25,25694.5,-595.0,stop,VWAP Reversion,
2025-11-04 09:50:00,2025-11-04 10:00:00,LONG,25694.5,25667.12,-547.5,real_dollar_stop,Z-Score MR v2,2.0
2025-11-04 09:55:00,,LONG,25674.75,25697.5,455.0,target,VWAP Reversion,
2025-11-04 10:05:00,2025-11-04 10:30:00,LONG,25673.75,25750.0,1525.0,reverted,Z-Score MR v2,5.0
2025-11-04 10:20:00,,LONG,25710.25,25750.0,795.0,target,VWAP Reversion,
2025-11-04 10:35:00,,LONG,25755.5,25768.5,260.0,target,VWAP Reversion,
2025-11-04 10:50:00,,LONG,25758.5,25765.75,145.0,target,VWAP Reversion,
2025-11-04 11:05:00,,LONG,25755.0,25765.5,210.0,target,VWAP Reversion,
2025-11-04 11:25:00,,LONG,25768.75,25776.75,160.0,target,VWAP Reversion,
2025-11-04 11:40:00,,LONG,25781.25,25737.0,-885.0,stop,VWAP Reversion,
2025-11-04 12:00:00,,LONG,25737.0,25769.5,650.0,target,HTF Rejection,
2025-11-04 12:05:00,,LONG,25739.0,25768.0,580.0,target,VWAP Reversion,
2025-11-04 12:20:00,,LONG,25760.75,25781.75,420.0,target,VWAP Reversion,
2025-11-04 12:30:00,,LONG,25775.75,25752.5,-465.0,stop,VWAP Reversion,
2025-11-04 12:40:00,,LONG,25754.0,25762.5,170.0,target,VWAP Reversion,
2025-11-04 12:50:00,,LONG,25765.5,25743.25,-445.0,stop,VWAP Reversion,
2025-11-04 13:15:00,,LONG,25735.0,25712.75,-445.0,stop,VWAP Reversion,
2025-11-04 13:30:00,,LONG,25702.75,25734.75,640.0,target,VWAP Reversion,
2025-11-04 13:55:00,,LONG,25716.25,25693.75,-450.0,stop,VWAP Reversion,
2025-11-04 14:05:00,,LONG,25696.25,25716.5,405.0,target,VWAP Reversion,
2025-11-04 14:15:00,,LONG,25749.75,25677.75,-1440.0,stop,VWAP Reversion,
2025-11-04 14:30:00,2025-11-04 14:40:00,LONG,25677.75,25775.0,1945.0,reverted,Z-Score MR v2,2.0
2025-11-04 14:35:00,,LONG,25688.5,25775.0,1730.0,target,VWAP Reversion,
2025-11-04 16:20:00,,LONG,25754.75,25771.25,330.0,target,VWAP Reversion,
2025-11-04 16:45:00,,LONG,25747.0,25763.75,335.0,target,VWAP Reversion,
2025-11-04 17:05:00,,LONG,25715.25,25655.0,-1205.0,stop,VWAP Reversion,
2025-11-04 18:05:00,,LONG,25653.0,25608.5,-890.0,stop,VWAP Reversion,
2025-11-04 18:40:00,,LONG,25651.25,25681.0,595.0,target,VWAP Reversion,
2025-11-04 19:00:00,,LONG,25681.25,25646.5,-695.0,stop,VWAP Reversion,
2025-11-04 19:15:00,,LONG,25648.5,25666.0,350.0,target,VWAP Reversion,
2025-11-04 19:25:00,,LONG,25660.5,25598.0,-1250.0,stop,VWAP Reversion,
2025-11-04 19:40:00,,LONG,25592.25,25623.0,615.0,target,VWAP Reversion,
2025-11-04 20:15:00,,LONG,25622.25,25559.25,-1260.0,stop,VWAP Reversion,
2025-11-04 20:55:00,,LONG,25579.0,25539.75,-785.0,stop,VWAP Reversion,
2025-11-04 21:20:00,2025-11-04 23:55:00,LONG,25539.75,25505.12,-692.5,real_dollar_stop,Z-Score MR v2,19.0
2025-11-04 21:25:00,,LONG,25542.75,25562.75,400.0,target,VWAP Reversion,
2025-11-04 21:45:00,,LONG,25562.75,25514.5,-965.0,stop,VWAP Reversion,
2025-11-04 23:10:00,,LONG,25528.75,25469.5,-1185.0,stop,VWAP Reversion,
2025-11-05 00:00:00,2025-11-05 00:30:00,LONG,25469.5,25449.54,-399.29,real_dollar_stop,Z-Score MR v2,6.0
2025-11-05 00:05:00,2025-11-05 00:15:00,SHORT,25475.0,25496.05,-421.07,stop,Layer I,
2025-11-05 00:35:00,2025-11-05 01:00:00,LONG,25425.5,25404.04,-429.29,real_dollar_stop,Z-Score MR v2,5.0
2025-11-05 00:35:00,2025-11-05 01:00:00,SHORT,25425.5,25393.0,650.0,target,Layer I,
2025-11-05 00:40:00,,LONG,25418.75,25382.0,-735.0,stop,VWAP Reversion,
2025-11-05 01:05:00,2025-11-05 01:20:00,LONG,25362.25,25338.36,-477.86,real_dollar_stop,Z-Score MR v2,3.0
2025-11-05 01:05:00,,LONG,25362.25,25385.0,455.0,target,VWAP Reversion,
2025-11-05 01:10:00,2025-11-05 01:15:00,SHORT,25385.0,25352.5,650.0,target,Layer I,
2025-11-05 01:15:00,,LONG,25348.25,25319.75,-570.0,stop,VWAP Reversion,
2025-11-05 01:25:00,2025-11-05 01:35:00,LONG,25319.75,25295.11,-492.86,real_dollar_stop,Z-Score MR v2,2.0
2025-11-05 01:25:00,2025-11-05 01:35:00,SHORT,25319.75,25287.25,650.0,target,Layer I,
2025-11-05 01:30:00,,LONG,25311.75,25327.75,320.0,target,VWAP Reversion,
2025-11-05 01:40:00,2025-11-05 02:50:00,LONG,25296.0,25408.75,2255.0,reverted,Z-Score MR v2,14.0
2025-11-05 01:45:00,2025-11-05 02:00:00,SHORT,25327.75,25334.75,-140.0,signal_invalidated,Layer I,
2025-11-05 01:50:00,,LONG,25338.75,25345.75,140.0,target,VWAP Reversion,
2025-11-05 02:10:00,,LONG,25334.25,25298.0,-725.0,stop,VWAP Reversion,
2025-11-05 02:30:00,,LONG,25322.5,25356.5,680.0,target,VWAP Reversion,
2025-11-05 02:55:00,,SHORT,25415.25,25455.5,-805.0,stop,VWAP Reversion,
2025-11-05 03:05:00,,SHORT,25449.75,25438.5,225.0,target,VWAP Reversion,
2025-11-05 03:20:00,,SHORT,25447.0,25488.5,-830.0,stop,VWAP Reversion,
