strategy,entry_time,exit_time,side,entry_price,stop_price,target_price,exit_reason,pnl_points,pnl_dollars_1x,result,entry_price_nq,exit_price_nq,entry_price_es,exit_price_es,hedge_ratio,pnl_dollars_3x,pnl_dollars_5x
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 12:10:00+00:00,,LONG,25392.0,25368.75,25419.9,,,554.0,WIN,,,,,,1662.0,2770.0
Trend Following,2026-02-10 12:20:00+00:00,2026-02-10 12:40:00+00:00,LONG,25404.25,25380.21,25476.36,STOP,-24.04,-484.71,LOSS,,,,,,-1454.13,-2423.55
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 12:40:00+00:00,,LONG,25376.0,25360.5,25394.6,,,-314.0,LOSS,,,,,,-942.0,-1570.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 13:15:00+00:00,,SHORT,25327.75,25342.0,25310.65,,,-289.0,LOSS,,,,,,-867.0,-1445.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 13:20:00+00:00,,SHORT,25329.25,25349.5,25304.95,,,-409.0,LOSS,,,,,,-1227.0,-2045.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 14:00:00+00:00,,SHORT,25378.0,25386.25,25368.1,,,-169.0,LOSS,,,,,,-507.0,-845.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 14:15:00+00:00,,SHORT,25393.75,25415.0,25368.25,,,506.0,WIN,,,,,,1518.0,2530.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 14:55:00+00:00,,LONG,25392.25,25380.75,25406.05,,,-234.0,LOSS,,,,,,-702.0,-1170.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 15:00:00+00:00,,LONG,25401.5,25396.25,25407.8,,,-109.0,LOSS,,,,,,-327.0,-545.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 15:05:00+00:00,,LONG,25434.75,25404.25,25471.35,,,-614.0,LOSS,,,,,,-1842.0,-3070.0
Trend Following,2026-02-10 15:05:00+00:00,2026-02-10 15:10:00+00:00,LONG,25434.75,25372.18,25685.04,STOP,-62.57,-1255.43,LOSS,,,,,,-3766.29,-6277.15
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 15:10:00+00:00,,LONG,25390.5,25310.5,25486.5,,,-1604.0,LOSS,,,,,,-4812.0,-8020.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 15:10:00+00:00,,LONG,25390.5,25363.5,25422.9,,,-544.0,LOSS,,,,,,-1632.0,-2720.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 16:30:00+00:00,,SHORT,25340.0,25351.0,25326.8,,,-224.0,LOSS,,,,,,-672.0,-1120.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 17:20:00+00:00,,LONG,25366.75,25345.25,25392.55,,,512.0,WIN,,,,,,1536.0,2560.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 17:50:00+00:00,,LONG,25389.0,25367.75,25414.5,,,-429.0,LOSS,,,,,,-1287.0,-2145.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 18:10:00+00:00,,LONG,25346.0,25328.25,25367.3,,,-359.0,LOSS,,,,,,-1077.0,-1795.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 19:10:00+00:00,,LONG,25301.0,25292.75,25310.9,,,-169.0,LOSS,,,,,,-507.0,-845.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 21:00:00+00:00,,SHORT,25235.0,25247.5,25220.0,,,-254.0,LOSS,,,,,,-762.0,-1270.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 23:00:00+00:00,,SHORT,25272.25,25286.5,25255.15,,,-289.0,LOSS,,,,,,-867.0,-1445.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 23:10:00+00:00,,LONG,25277.5,25253.0,25306.9,,,584.0,WIN,,,,,,1752.0,2920.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-10 23:25:00+00:00,,LONG,25279.0,25273.5,25285.6,,,-114.0,LOSS,,,,,,-342.0,-570.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 02:00:00+00:00,,LONG,25309.0,25302.75,25316.5,,,146.0,WIN,,,,,,438.0,730.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 02:05:00+00:00,,SHORT,25312.25,25323.25,25299.05,,,-224.0,LOSS,,,,,,-672.0,-1120.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 02:15:00+00:00,,LONG,25322.0,25312.75,25333.1,,,-189.0,LOSS,,,,,,-567.0,-945.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 02:45:00+00:00,,SHORT,25315.25,25323.75,25305.05,,,-174.0,LOSS,,,,,,-522.0,-870.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 03:00:00+00:00,,LONG,25316.0,25310.5,25322.6,,,-114.0,LOSS,,,,,,-342.0,-570.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 03:30:00+00:00,,SHORT,25319.75,25326.0,25312.25,,,-129.0,LOSS,,,,,,-387.0,-645.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 03:35:00+00:00,,LONG,25322.25,25309.0,25338.15,,,314.0,WIN,,,,,,942.0,1570.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 04:10:00+00:00,,LONG,25324.25,25317.25,25332.65,,,-144.0,LOSS,,,,,,-432.0,-720.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 04:20:00+00:00,,SHORT,25323.0,25337.25,25305.9,,,338.0,WIN,,,,,,1014.0,1690.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 04:40:00+00:00,,LONG,25302.5,25292.0,25315.1,,,248.0,WIN,,,,,,744.0,1240.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 04:55:00+00:00,,SHORT,25306.75,25314.5,25297.45,,,-159.0,LOSS,,,,,,-477.0,-795.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 04:55:00+00:00,,LONG,25306.75,25299.5,25315.45,,,170.0,WIN,,,,,,510.0,850.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 05:10:00+00:00,,SHORT,25314.25,25326.0,25300.15,,,278.0,WIN,,,,,,834.0,1390.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 05:20:00+00:00,,LONG,25314.75,25304.75,25326.75,,,-204.0,LOSS,,,,,,-612.0,-1020.0
Trend Following,2026-02-11 05:30:00+00:00,2026-02-11 08:10:00+00:00,SHORT,25297.0,25317.68,25234.96,TARGET,62.04,1236.71,WIN,,,,,,3710.13,6183.55
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 05:50:00+00:00,,SHORT,25290.25,25298.0,25280.95,,,-159.0,LOSS,,,,,,-477.0,-795.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 06:00:00+00:00,,SHORT,25308.25,25316.25,25298.65,,,188.0,WIN,,,,,,564.0,940.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 06:10:00+00:00,,LONG,25291.0,25285.0,25298.2,,,-124.0,LOSS,,,,,,-372.0,-620.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 06:25:00+00:00,,SHORT,25274.75,25312.0,25230.05,,,890.0,WIN,,,,,,2670.0,4450.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 06:55:00+00:00,,SHORT,25270.75,25282.75,25256.35,,,-244.0,LOSS,,,,,,-732.0,-1220.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 07:30:00+00:00,,SHORT,25271.0,25278.25,25262.3,,,170.0,WIN,,,,,,510.0,850.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 07:30:00+00:00,,LONG,25271.0,25263.25,25280.3,,,-159.0,LOSS,,,,,,-477.0,-795.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 07:45:00+00:00,,SHORT,25275.5,25286.5,25262.3,,,260.0,WIN,,,,,,780.0,1300.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 08:00:00+00:00,,SHORT,25269.5,25277.5,25259.9,,,188.0,WIN,,,,,,564.0,940.0
Volatility Breakout,2026-02-11 08:05:00+00:00,2026-02-11 08:30:00+00:00,SHORT,25241.25,25256.54,25203.04,STOP,-15.29,-309.71,LOSS,,,,,,-929.13,-1548.55
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 08:30:00+00:00,,SHORT,25255.75,25267.0,25242.25,,,-229.0,LOSS,,,,,,-687.0,-1145.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 08:40:00+00:00,,LONG,25257.5,25241.75,25276.4,,,374.0,WIN,,,,,,1122.0,1870.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 09:10:00+00:00,,LONG,25259.0,25252.75,25266.5,,,-129.0,LOSS,,,,,,-387.0,-645.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 09:20:00+00:00,,LONG,25242.25,25222.75,25265.65,,,-394.0,LOSS,,,,,,-1182.0,-1970.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 09:25:00+00:00,,SHORT,25254.5,25260.75,25247.0,,,146.0,WIN,,,,,,438.0,730.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 09:30:00+00:00,,SHORT,25231.25,25242.0,25218.35,,,254.0,WIN,,,,,,762.0,1270.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 09:45:00+00:00,,SHORT,25214.5,25231.75,25193.8,,,410.0,WIN,,,,,,1230.0,2050.0
